Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,,,,,Sustainability Fact Book 2023,
3,,WATER PERFORMANCE BY PG,,,,,
4,,"Water - performance data by product group (2023-2019), in GL",,,,,
5,,Operational withdrawals (by product group),2023.0,2022.0,2021.0,2020,2019.0
6,,Aluminium,214.0,198.0,186.0,187,176.0
7,,Copper,58.0,63.0,59.0,50,55.0
8,,Minerals,281.0,288.0,278.0,266,272.0
9,,Iron Ore,587.0,587.0,559.0,553,605.0
10,,Others,30.0,37.0,41.0,35,30.0
11,,Total,1170.0,1173.0,1122.0,1090,1138.0
12,,Note: The sum of the categories may be slightly different to the Rio Tinto total due to rounding.,,,,,
13,,Note: Others includes water from Development & Technology and marine operations.,,,,,
15,,Total discharges (by product group),2023.0,2022.0,2021.0,2020,2019.0
16,,Aluminium,169.0,161.0,146.0,76,74.0
17,,Copper,27.0,23.0,24.0,27,29.0
18,,Minerals,290.0,291.0,274.0,280,275.0
19,,Iron Ore,176.0,195.0,227.0,204,197.0
20,,Others,30.0,24.0,27.0,23,22.0
21,,Total,692.0,694.0,698.0,610,597.0
22,,Note: The sum of the categories may be slightly different to the Rio Tinto total due to rounding.,,,,,
23,,Note: Others includes water from Development & Technology and marine operations.,,,,,
25,,Consumption (by product group),2023.0,2022.0,2021.0,2020,2019.0
26,,Aluminium,61.0,56.0,58.0,61,53.0
27,,Copper,48.0,53.0,50.0,45,50.0
28,,Minerals,31.0,38.0,42.0,24,37.0
29,,Iron Ore,495.0,475.0,436.0,391,498.0
30,,Others,9.0,17.0,15.0,17,19.0
31,,Total,644.0,638.0,602.0,537,657.0
32,,Note: The sum of the categories may be slightly different to the Rio Tinto total due to rounding.,,,,,
33,,Note: Others includes water from Development & Technology and marine operations.,,,,,
35,,Recycled/reused (by product group),2023.0,2022.0,2021.0,2020,2019.0
36,,Aluminium,21.0,21.0,18.0,17,23.0
37,,Copper,149.0,153.0,163.0,166,155.0
38,,Minerals,128.0,134.0,129.0,132,132.0
39,,Iron Ore,6.0,5.0,15.0,11,9.0
40,,Others,0.0,0.0,0.0,21,16.0
41,,Total,303.0,312.0,325.0,346,334.0
42,,Note: The sum of the categories may be slightly different to the Rio Tinto total due to rounding.,,,,,
43,,Note: Others includes water from Development & Technology and marine operations.,,,,,
44,,"Definition of operational withdrawals, other managed water, total discharges, consumption, recycled/reused, change in storage and water quality are as per the Water Reporting: Good Practice Guide, 2nd Edition (ICMM, 2021).",,,,,
45,,"Refer to Appendix A of the ICMM water reporting guide for equivalency with other reporting standards, including those from the Minerals Council of Australia and Global Reporting Initiative.",,,,,
46,,The sum of the categories may be slightly different to the Rio Tinto total due to rounding.,,,,,
47,,Aggregated totals are the sum of data for all assets within the reporting group. No adjustments have been applied to discount water that moves between assets within the same reporting group. Some totals may therefore be conservatively stated.,,,,,
48,,Water use associated with hydropower assets not included in above totals.,,,,,
50,,*Numbers restated from those originally published to ensure comparability over time,,,,,
