Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,,,
,Sustainability Report 2023,,,,,
,Digital Economy,,,,,
,,,,,,
,For further details on the sustainability metrics reported within this Data Pack please refer to our 2023 Sustainability Report. Independent assurance has been provided over selected sustainability metrics (in grey) for the 2023 reporting period. For sustainability metrics definitions please refer to the Metric Definitions tab.,,,,,
,,,,,,
,,,,,,
,,,,,,
,5G network,,,,,
,,,,,,
,CATEGORY,2021.0,2022.0,2023,,
,5G-enabled sites (cumulative),1015.0,2055.0,"3,063",,
,5G population coverage15,0.85,0.95,> 98%,,
,Notes:,,,,,
,"15 - Population coverage based on 10 of Australia's largest cities and centres (Sydney, Melbourne, Brisbane, Adelaide, Perth, Canberra, Gold Coast, Sunshine Coast, Wollongong and NSW Central Coast) for the 2021 reporting period and on 12 of Australia's largest cities and centres including Darwin and Hobart for the 2022 and 2023 reporting period.",,,,,
,,,,,,
,,,,,,
,,,,,,
,TPG Telecom Foundation donations (AUD),,,,,
,,,,,,
,CATEGORY,2021.0,2022.0,2023,,
,Cash donation - Foundation partners,849250.0,1889250.0,1198000,,
,"Cash donations - matched giving, disaster response, other",37798.0,53352.0,117575,,
,Management costs,38490.0,65746.0,61846,,
,Total,925538.0,2008348.0,1377421,,
