Unnamed: 0,Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
3,,"Carbon Offsets1, 2",,,,,,,,,,
4,,PROJECT,LOCATION,TYPE,REGISTRY/TYPE,DATE RETIRED,VINTAGE,ELIGIBLE QTY,ELIGIBLE QTY USED FOR PREVIOUS REPORTING,ELIGIBLE QTY USED FOR FY23 REPORTING,ELIGIBLE QTY BANKED FOR FUTURE REPORTING,BALANCE AT 30 JUNE 2023 (tCO2e)
5,,AUSTRALIA,,,,,,,,,,
6,,Arnhem Land Fire Abatement (ALFA) Projects,NT,Savanna Fire Management -ÃÂ Indigenous owned and operated,ANREU/ACCUs,,2022,6868,0,0,6868,6868
7,,Tuncoona Forest Regeneration Project (ERF101812),NSW,Human-Induced Regeneration,ANREU/ACCUs,2021-06-30 00:00:00,2020/21,7749,0,0,7749,7749
8,,Nyaliga Fire Project (ERF109670),NT,Savanna Fire Management -ÃÂ Indigenous owned and operated,ANREU/ACCUs,2021-06-30 00:00:00,2019/20,1251,0,0,1251,1251
9,,Paroo River Native Forest Regeneration,QLD,Human Induced Regeneration w/ Indigenous revenue share,ANREU/ACCUs,2021-06-07 00:00:00,2019/21,10000,0,0,10000,10000
10,,Olkola Ajin - Olkola Fire Project (EOP 100960),QLD,Savanna Fire Management -ÃÂ Indigenous owned and operated,ANREU/ACCUs,2021-06-07 00:00:00,2020/21,3200,0,0,3200,3200
11,,Paroo River Native Forest Regeneration,QLD,Human Induced Regeneration w/ Indigenous revenue share,ANREU/ACCUs,3/30/2022,2020/21,1213,0,700,1213,513
12,,Jandra/Nulty Regeneration Project (ERF101511),QLD,Savanna Fire Management -ÃÂ Indigenous owned and operated,ANREU/ACCUs,3/30/2022,2020/21,2037,0,2037,2037,0
13,,INTERNATIONAL,,,,,,,,,,
14,,"Installation Of Low Green House Gases (GHG) Emitting Rolling Stock Cars In Metro (GS 4597, UNFCCC 1351)",Nepal,Cookstoves,Gold Standard CER,3/30/2022,2013/2020,10000,0,10000,10000,0
15,,Bundled Wind Power Project by Mytrah Group,India,Energy industries (renewable/non-renewable sources),VERRA/VCUs,2021-03-03 00:00:00,2016,25000,11630,13370,13370,0
16,,Total Carbon Offsets,,,,,,,,26107,55688,29581
19,,Footnotes to data,,,,,,,,,,
20,,1. IAG's company carbon offsets and associated carbon offset projects are independent of the NRMA Insurance Carbon Offset Program.,,,,,,,,,,
21,,"2. Details of steps taken to purchase and retire carbon offsets, and the scope of coverage, is included in the 'Definitions' tab.",,,,,,,,,,
23,,Acronyms,,,,,,,,,,
24,,ACCU: Australian Carbon Credit Units,,,,,,,,,,
25,,ANREU: The Australian National Registry of Emissions Units,,,,,,,,,,
26,,CER: Certified Emissions Reductions,,,,,,,,,,
27,,VCU: Verified Carbon Units,,,,,,,,,,
28,,VERRA: Verified Carbon Standard,,,,,,,,,,
